DATE,CAPCPI
1929-01-01,994
1930-01-01,889
1931-01-01,753
1932-01-01,584
1933-01-01,550
1934-01-01,605
1935-01-01,665
1936-01-01,776
1937-01-01,801
1938-01-01,779
1939-01-01,790
1940-01-01,856
1941-01-01,1034
1942-01-01,1324
1943-01-01,1589
1944-01-01,1616
1945-01-01,1620
1946-01-01,1706
1947-01-01,1724
1948-01-01,1816
1949-01-01,1800
1950-01-01,1947.0
1951-01-01,2166.0
1952-01-01,2303.0
1953-01-01,2345.0
1954-01-01,2323.0
1955-01-01,2478.0
1956-01-01,2597.0
1957-01-01,2683.0
1958-01-01,2705.0
1959-01-01,2847.0
1960-01-01,2931.0
1961-01-01,2986.0
1962-01-01,3110.0
1963-01-01,3211.0
1964-01-01,3383.0
1965-01-01,3531.0
1966-01-01,3784.0
1967-01-01,4001.0
1968-01-01,4334.0
1969-01-01,4676.0
1970-01-01,4965.0
1971-01-01,5209.0
1972-01-01,5652.0
1973-01-01,6123.0
1974-01-01,6731.0
1975-01-01,7320.0
1976-01-01,7975.0
1977-01-01,8681.0
1978-01-01,9661.0
1979-01-01,10758.0
1980-01-01,11950.0
1981-01-01,13150.0
1982-01-01,13785.0
1983-01-01,14587.0
1984-01-01,15877.0
1985-01-01,16788.0
1986-01-01,17581.0
1987-01-01,18418.0
1988-01-01,19590.0
1989-01-01,20542.0
1990-01-01,21483.0
1991-01-01,21877.0
1992-01-01,22664.0
1993-01-01,22990.0
1994-01-01,23556.0
1995-01-01,24596.0
1996-01-01,25864.0
1997-01-01,26979.0
1998-01-01,28901.0
1999-01-01,30529.0
2000-01-01,33175.0
2001-01-01,33915.0
2002-01-01,34047.0
2003-01-01,35191.0
2004-01-01,36969.0
2005-01-01,38737.0
2006-01-01,41454.0
2007-01-01,43070.0
2008-01-01,43391.0
2009-01-01,41660.0
2010-01-01,43138.0
2011-01-01,45509.0
2012-01-01,47794.0
2013-01-01,48076.0
2014-01-01,50619.0
2015-01-01,53817.0
2016-01-01,55863.0
2017-01-01,58214.0
2018-01-01,60984.0
2019-01-01,64174.0
2020-01-01,70058.0
2021-01-01,76987.0
2022-01-01,77013.0
2023-01-01,80423.0
